시군구명,행정동명,인구지수,예산복지지수,공동육아나눔터유무
강남구,도곡1동,16028.977237276773,2134404.59,0
강남구,도곡2동,14461.552381149642,2134404.59,0
강남구,개포1동,3966.743604865694,2134404.59,0
강남구,개포4동,7200.659806897906,2134404.59,0
강남구,일원본동,11397.592946235372,2134404.59,0
강남구,일원1동,6767.8447095621395,2134404.59,0
강남구,일원2동,7459.079091209172,2134404.59,1
강남구,수서동,11652.79397395614,2134404.59,0
강남구,세곡동,22900.71606461281,2134404.59,0
강남구,압구정동,19439.70130873421,2134404.59,0
강남구,청담동,18476.790740680073,2134404.59,0
강남구,대치2동,22408.0931725466,2134404.59,0
강남구,개포2동,10936.421447442346,2134404.59,0
서초구,서초1동,13890.801952193295,1261878.13,0
서초구,서초2동,21971.002856519,1261878.13,0
서초구,서초3동,27851.63498292784,1261878.13,0
서초구,서초4동,18908.789460653377,1261878.13,0
서초구,잠원동,15424.498899706483,1261878.13,0
서초구,반포본동,1173.8961944004498,1261878.13,0
서초구,반포1동,14964.540015911201,1261878.13,0
서초구,반포2동,8085.694979582176,1261878.13,0
서초구,반포3동,9556.382871891175,1261878.13,0
서초구,반포4동,20260.195195368327,1261878.13,1
서초구,방배본동,8647.706477535346,1261878.13,0
서초구,방배1동,9370.15116382351,1261878.13,0
서초구,방배2동,8666.87023944651,1261878.13,0
서초구,방배3동,7368.227557154131,1261878.13,0
서초구,방배4동,11851.798157986663,1261878.13,0
서초구,양재1동,24841.54019786647,1261878.13,0
서초구,양재2동,16510.103323242212,1261878.13,0
서초구,내곡동,11519.303545996943,1261878.13,0
송파구,풍납1동,6439.529714017933,1704731.91,0
송파구,풍납2동,16389.169066806407,1704731.91,1
송파구,거여1동,5172.761227721496,1704731.91,0
송파구,거여2동,8044.933321927555,1704731.91,0
송파구,마천1동,5424.591849495714,1704731.91,0
송파구,마천2동,6284.894267861787,1704731.91,0
송파구,방이1동,8291.376717144478,1704731.91,0
송파구,방이2동,15443.448008876481,1704731.91,0
송파구,오륜동,10678.348958510875,1704731.91,0
송파구,오금동,16089.517302219045,1704731.91,0
송파구,송파1동,13216.295860134507,1704731.91,0
송파구,송파2동,8646.527907217911,1704731.91,0
송파구,석촌동,12921.912567469397,1704731.91,0
송파구,삼전동,13903.622033693937,1704731.91,0
송파구,가락본동,16624.15405814522,1704731.91,0
송파구,가락1동,13330.838635208682,1704731.91,0
송파구,가락2동,11674.600549062676,1704731.91,0
송파구,문정1동,8845.410597291775,1704731.91,0
송파구,문정2동,16786.980511649363,1704731.91,0
송파구,잠실본동,14886.120290264074,1704731.91,0
송파구,잠실4동,9687.805127934702,1704731.91,0
송파구,잠실6동,18937.926970188782,1704731.91,0
송파구,잠실7동,4278.484160597628,1704731.91,0
송파구,잠실2동,15931.83966928686,1704731.91,0
송파구,잠실3동,20591.941781463254,1704731.91,0
송파구,장지동,15449.662406918615,1704731.91,0
